순위,분류,관련 키워드,언급건수
1,친구,친구,25617
2,기타가족,가족,24044
3,싱글,혼자,17966
4,회사동료,직원,14029
5,자녀,학생,13226
6,친구,친구들,11743
7,기타가족,엄마,10979
8,부모님,부모,10289
9,기타가족,가정,8435
10,회사동료,대리,7583
11,부모님,부모님,7498
12,부모님,어머니,6853
13,친구,지인,6466
14,부모님,아버지,6007
15,배우자,남편,5776
16,싱글,혼자서,5432
17,자녀,자녀,5424
18,기타가족,언니,5263
19,부모님,아빠,4891
20,자녀,청소년,4693
21,기타가족,동생,4539
22,자녀,아들,4132
23,기타가족,오빠,3880
24,자녀,자식,3557
25,연인,커플,3352
26,배우자,부인,3233
27,회사동료,직원들,3157
28,배우자,아내,2850
29,연인,연인,2842
30,기타가족,이모,2738
31,회사동료,동료,2722
32,자녀,애들,2685
33,부모님,할머니,2657
34,연인,남자친구,2433
35,싱글,홀로,2376
36,학생,대학생,2173
37,배우자,배우자,2128
38,기타가족,형제,1968
39,학생,초등학생,1885
40,자녀,딸,1833
41,기타가족,사위,1797
42,배우자,신랑,1644
43,기타가족,동서,1614
44,기타가족,형,1470
45,부모님,어머님,1450
46,연인,여자친구,1444
47,부모님,할아버지,1417
48,배우자,서방,1332
49,싱글,나홀로,1324
50,회사동료,부장,1313
51,학생,고등학생,1248
52,기타가족,장인,1196
53,싱글,싱글,1171
54,배우자,신부,1152
55,기타가족,막내,1049
56,배우자,와이프,1035
57,친구,프렌,1028
58,학생,중학생,1013
59,기타가족,효자,1010
60,기타가족,누나,980
61,기타가족,식구,962
62,자녀,미성년자,932
63,부모님,엄마아빠,930
64,기타가족,장모,896
65,기타가족,조카,883
66,회사동료,임원,877
67,연인,남친,863
68,기타가족,여동생,849
69,기타가족,자매,838
70,친구,칭구,836
71,학생,초딩,770
72,부모님,아버님,764
73,기타가족,남동생,712
74,친구,동창,709
75,부모님,시어머니,698
76,부모님,장모님,645
77,배우자,남편이랑,620
78,기타가족,며느리,609
79,기타가족,사촌,608
80,기타가족,이모님,598
81,기타가족,형님,595
82,부모님,엄빠,575
83,기타가족,친척,571
84,기타가족,패밀리,561
85,기타가족,손자,538
86,학생,고3,533
87,부모님,시부,530
88,학생,고딩,503
89,회사동료,사원,498
90,기타가족,온가족,469
91,회사동료,직장동료,435
92,연인,애인,423
93,부모님,아부지,415
94,부모님,어무니,414
95,부모님,시부모,408
96,자녀,아드님,399
97,자녀,장남,388
98,부모님,시부모님,385
99,싱글,나혼자,375
100,기타가족,삼촌,366
100,부모님,아비,366
102,기타가족,고모,352
102,회사동료,차장,352
104,기타가족,남매,336
105,기타가족,시댁,331
106,부모님,모녀,329
106,연인,남친이,329
108,연인,여친,315
109,부모님,시아버지,303
110,친구,절친,302
111,부모님,장인어른,299
112,자녀,따님,287
113,배우자,집사람,282
114,학생,중3,276
115,학생,중딩,275
116,기타가족,태아,274
117,학생,고2,257
118,기타가족,손녀,223
119,기타가족,가족모두,218
120,자녀,장녀,216
120,학생,중2,216
122,학생,중1,212
123,부모님,할매,211
124,기타가족,손주,207
125,자녀,우리아이,205
126,기타가족,사촌동생,202
127,부모님,외할머니,199
128,학생,재수생,188
129,부모님,울엄마,184
130,부모님,친정엄마,178
131,기타가족,형부,176
132,자녀,딸내미,163
133,자녀,딸래미,162
134,친구,룸메,161
135,기타가족,막둥이,155
136,자녀,딸아이,153
137,회사동료,여직원,143
138,자녀,외동,142
139,자녀,워킹맘,129
139,자녀,큰아들,129
141,부모님,할무니,128
142,연인,예랑,124
143,배우자,안사람,119
143,부모님,할배,119
143,자녀,큰딸,119
146,연인,예비신부,116
147,기타가족,혈육,114
148,기타가족,친지,113
148,부모님,조부모,113
150,기타가족,이모님들,112
151,자녀,차녀,105
152,부모님,할머님,104
153,기타가족,외삼촌,101
154,배우자,마누라,97
155,부모님,외할아버지,96
156,부모님,엄니,95
157,배우자,마눌,93
158,자녀,큰아이,92
159,기타가족,차남,90
159,부모님,시모,90
161,친구,베프,89
162,자녀,외동딸,88
163,기타가족,울언니,85
163,자녀,우리아이들,85
165,자녀,딸램,83
166,배우자,예랑이,82
166,학생,초4,82
168,기타가족,효녀,80
169,연인,약혼자,76
170,배우자,남표니,75
171,배우자,남편님,74
171,학생,초1,74
171,학생,초6,74
174,자녀,우리딸,73
175,자녀,맏아들,71
176,자녀,울애,69
177,회사동료,회사사람,66
178,기타가족,시누,65
178,학생,초3,65
180,배우자,마눌님,64
181,부모님,시어머님,62
182,배우자,예신,61
183,자녀,큰애,60
184,자녀,우리애,59
184,회사동료,회사동료,59
186,연인,남치니,58
187,연인,예비신랑,56
188,기타가족,손주들,55
189,자녀,울애기,54
189,학생,초5,54
191,기타가족,시누이,53
192,기타가족,숙모,52
193,부모님,증조부,51
193,친구,프렌드,51
195,싱글,독신,50
195,자녀,둘째딸,50
195,자녀,아들램,50
198,기타가족,숙부,49
198,자녀,둘째아들,49
200,연인,남친님,47
201,기타가족,처제,46
201,부모님,할아버님,46
201,학생,고삼,46
204,배우자,아자씨,45
204,친구,여사친,45
206,배우자,우리신랑,43
206,부모님,할부지,43
206,기타가족,올케,43
206,부모님,어무이,43
206,학생,초2,43
211,기타가족,사돈,42
211,부모님,시아버님,42
213,자녀,외아들,41
214,기타가족,덩생,40
215,자녀,삼둥이,39
215,자녀,우리아들,39
217,자녀,큰놈,38
218,배우자,남푠,36
218,배우자,마님,36
218,배우자,주말부부,36
218,자녀,손녀딸,36
218,자녀,아들내미,36
218,배우자,울신랑,36
224,자녀,아들딸,34
225,부모님,할아부지,33
226,부모님,친정어머니,32
226,친구,룸메이트,32
226,연인,썸남,32
229,기타가족,친정식구,30
229,기타가족,새언니,30
231,친구,남사친,29
232,기타가족,손자들,27
232,기타가족,친정식구들,27
232,자녀,아들래미,27
235,부모님,친정아버지,25
235,자녀,저희아이,25
237,기타가족,외손자,24
237,배우자,남펴니,24
239,배우자,애엄마,23
240,회사동료,직장상사,22
241,자녀,둥이들,21
242,기타가족,외손녀,20
243,부모님,양가부모님,19
244,기타가족,시동생,18
244,배우자,와이프님,18
244,자녀,울딸,18
247,배우자,낭군님,17
247,자녀,울아들,17
247,기타가족,시댁식구,17
247,자녀,젖먹이,17
251,자녀,둘째아이,16
251,자녀,저희딸,16
251,기타가족,장손,16
251,배우자,새색시,16
251,기타가족,시댁식구들,16
251,부모님,시엄니,16
257,자녀,첫째아들,15
257,회사동료,회사직원,15
257,연인,썸녀,15
257,자녀,우리애들,15
257,기타가족,육촌,15
262,연인,약혼녀,14
262,자녀,딸냄,14
262,자녀,여식,14
262,자녀,외동아들,14
262,자녀,초보맘,14
262,기타가족,며늘,14
268,자녀,첫째딸,12
268,자녀,첫째아이,12
268,자녀,아들녀석,12
268,자녀,첫아이,12
272,배우자,남의편,11
272,부모님,시엄마,11
272,부모님,할멈,11
272,연인,남친몬,11
272,자녀,초보엄마,11
277,부모님,친정아빠,10
277,부모님,할마,10
277,자녀,저희아들,10
277,자녀,직장맘,10
281,배우자,영감님,9
281,싱글,싱글족,9
283,배우자,남푠님,8
283,자녀,저희애,8
283,부모님,외할무니,8
283,싱글,혼행,8
283,기타가족,며늘아기,8
283,기타가족,외손주,8
289,부모님,증조모,7
289,자녀,맏딸,7
289,자녀,울애들,7
289,배우자,애아빠,7
289,연인,보이프렌드,7
289,자녀,울아이,7
289,기타가족,손자손녀,7
289,기타가족,맏며느리,7
297,배우자,애기아빠,6
297,연인,여친님,6
297,자녀,작은놈,6
297,부모님,시아부지,6
297,배우자,저희신랑,6
302,부모님,시아빠,5
302,자녀,딸자식,5
302,친구,여행친구,5
302,부모님,함무니,5
302,친구,학교친구,5
302,자녀,첫아들,5
308,기타가족,큰며느리,4
308,부모님,친정아부지,4
308,자녀,울아드님,4
308,부모님,할버지,4
308,배우자,저희남편,4
313,배우자,애들아빠,3
313,자녀,저희애들,3
313,친구,남자사람친구,3
313,배우자,울서방,3
313,부모님,예비시어머니,3
313,싱글,혼자남,3
313,자녀,울아이들,3
313,자녀,작은녀석,3
313,배우자,아이아빠,3
313,싱글,싱글여성,3
313,자녀,첫딸,3
313,자녀,둥이맘,3
325,배우자,저희와이프,2
325,부모님,기러기아빠,2
325,부모님,외할머님,2
325,부모님,친정맘,2
325,연인,울남친,2
325,자녀,제아이,2
325,싱글,나홀로족,2
325,배우자,우리영감,2
325,기타가족,첫손주,2
325,회사동료,회사선배,2
325,자녀,셋째아이,2
325,기타가족,막내사위,2
325,기타가족,사돈댁,2
325,싱글,싱글남,2
325,싱글,싱글남성,2
340,배우자,아내느님,1
340,자녀,첫아기,1
340,기타가족,맏사위,1
340,부모님,시어미,1
340,부모님,시어른,1
340,부모님,친정엄니,1
340,자녀,첫째아기,1
340,배우자,울랑,1
340,배우자,울랑이,1
340,친구,여자사람친구,1
340,회사동료,회사후배,1
340,부모님,외할아버님,1
340,자녀,우리집애,1
340,자녀,일하는엄마,1
340,회사동료,회사상사,1
340,배우자,남편느님,1
340,배우자,영감탱이,1
340,부모님,외할부지,1
340,부모님,외할매,1
340,연인,피앙새,1
340,친구,결혼한친구,1
340,배우자,울와이프,1
340,부모님,어머니아버지,1
340,부모님,외할배,1
340,기타가족,막내며느리,1
340,자녀,전업맘,1
340,기타가족,시댁어른,1
340,자녀,울따님,1
340,자녀,첫째아가,1
340,부모님,예비시아버지,1
